symbol,cik,accession,okres,data_zlozenia,akceptacja_et,klasa,sesja_reakcji,znacznik_json,json_zgodny
NVDA,1045810,0001045810-22-000008,2022-02-16,2022-02-16,2022-02-16 16:21:16,AMC,2022-02-17,2022-02-16T21:21:16.000Z,tak
AVGO,1730168,0001730168-22-000015,2022-03-03,2022-03-03,2022-03-03 16:18:22,AMC,2022-03-04,2022-03-03T21:18:22.000Z,tak
TSLA,1318605,0001564590-22-013264,2022-04-02,2022-04-04,2022-04-04 06:07:24,BMO,2022-04-04,2022-04-04T10:07:24.000Z,tak
TSLA,1318605,0001564590-22-014917,2022-04-20,2022-04-20,2022-04-20 16:12:16,AMC,2022-04-21,2022-04-20T20:12:16.000Z,tak
GOOGL,1652044,0001652044-22-000025,2022-04-26,2022-04-26,2022-04-26 16:01:32,AMC,2022-04-27,2022-04-26T20:01:32.000Z,tak
MSFT,789019,0001193125-22-120207,2022-04-26,2022-04-26,2022-04-26 16:03:59,AMC,2022-04-27,2022-04-26T16:03:59.000Z,NIE
META,1326801,0001326801-22-000054,2022-04-27,2022-04-27,2022-04-27 16:07:54,AMC,2022-04-28,2022-04-27T20:07:54.000Z,tak
AMZN,1018724,0001018724-22-000011,2022-04-28,2022-04-28,2022-04-28 16:27:13,AMC,2022-04-29,2022-04-28T20:27:13.000Z,tak
AAPL,320193,0000320193-22-000058,2022-04-28,2022-04-28,2022-04-28 16:32:12,AMC,2022-04-29,2022-04-28T20:32:12.000Z,tak
NVDA,1045810,0001045810-22-000073,2022-05-25,2022-05-25,2022-05-25 16:22:25,AMC,2022-05-26,2022-05-25T20:22:25.000Z,tak
AVGO,1730168,0001193125-22-160304,2022-05-26,2022-05-26,2022-05-26 07:28:34,BMO,2022-05-26,2022-05-26T11:28:34.000Z,tak
TSLA,1318605,0001564590-22-025153,2022-07-02,2022-07-05,2022-07-05 06:16:41,BMO,2022-07-05,2022-07-05T10:16:41.000Z,tak
TSLA,1318605,0001564590-22-026048,2022-07-20,2022-07-20,2022-07-20 16:43:32,AMC,2022-07-21,2022-07-20T20:43:32.000Z,tak
GOOGL,1652044,0001652044-22-000068,2022-07-26,2022-07-26,2022-07-26 16:02:00,AMC,2022-07-27,2022-07-26T20:02:00.000Z,tak
MSFT,789019,0001193125-22-202034,2022-07-26,2022-07-26,2022-07-26 16:02:59,AMC,2022-07-27,2022-07-26T16:02:59.000Z,NIE
META,1326801,0001326801-22-000079,2022-07-27,2022-07-27,2022-07-27 16:07:22,AMC,2022-07-28,2022-07-27T20:07:22.000Z,tak
AMZN,1018724,0001018724-22-000017,2022-07-28,2022-07-28,2022-07-28 16:09:30,AMC,2022-07-29,2022-07-28T20:09:30.000Z,tak
AAPL,320193,0000320193-22-000069,2022-07-28,2022-07-28,2022-07-28 16:31:44,AMC,2022-07-29,2022-07-28T20:31:44.000Z,tak
NVDA,1045810,0001045810-22-000133,2022-08-08,2022-08-08,2022-08-08 09:16:50,BMO,2022-08-08,2022-08-08T13:16:50.000Z,tak
NVDA,1045810,0001045810-22-000136,2022-08-24,2022-08-24,2022-08-24 16:24:34,AMC,2022-08-25,2022-08-24T20:24:34.000Z,tak
AVGO,1730168,0001730168-22-000091,2022-09-01,2022-09-01,2022-09-01 16:26:00,AMC,2022-09-02,2022-09-01T20:26:00.000Z,tak
TSLA,1318605,0001564590-22-033053,2022-10-02,2022-10-03,2022-10-03 06:05:40,BMO,2022-10-03,2022-10-03T10:05:40.000Z,tak
TSLA,1318605,0001564590-22-034639,2022-10-19,2022-10-19,2022-10-19 17:15:46,AMC,2022-10-20,2022-10-19T21:15:46.000Z,tak
GOOGL,1652044,0001652044-22-000085,2022-10-25,2022-10-25,2022-10-25 16:01:23,AMC,2022-10-26,2022-10-25T20:01:23.000Z,tak
MSFT,789019,0001193125-22-268356,2022-10-25,2022-10-25,2022-10-25 16:02:59,AMC,2022-10-26,2022-10-25T16:02:59.000Z,NIE
META,1326801,0001326801-22-000105,2022-10-26,2022-10-26,2022-10-26 16:19:09,AMC,2022-10-27,2022-10-26T20:19:09.000Z,tak
AMZN,1018724,0001018724-22-000021,2022-10-27,2022-10-27,2022-10-27 16:09:35,AMC,2022-10-28,2022-10-27T20:09:35.000Z,tak
AAPL,320193,0000320193-22-000107,2022-10-27,2022-10-27,2022-10-27 16:30:22,AMC,2022-10-28,2022-10-27T20:30:22.000Z,tak
NVDA,1045810,0001045810-22-000163,2022-11-16,2022-11-16,2022-11-16 16:21:18,AMC,2022-11-17,2022-11-16T21:21:18.000Z,tak
AVGO,1730168,0001730168-22-000110,2022-12-08,2022-12-08,2022-12-08 16:21:25,AMC,2022-12-09,2022-12-08T21:21:25.000Z,tak
TSLA,1318605,0001564590-23-000002,2023-01-02,2023-01-03,2023-01-03 06:08:47,BMO,2023-01-03,2023-01-03T11:08:47.000Z,tak
MSFT,789019,0001193125-23-014230,2023-01-24,2023-01-24,2023-01-24 16:28:00,AMC,2023-01-25,2023-01-24T16:28:00.000Z,NIE
